#Timing,Name,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll
00:00:000,Pose1,1.455,0.254,-1.346,-0.946,-0.021,0.029,-0.388,0.705,-0.389,-0.009,-0.021,-0.029,-0.406,0.759,-0.426,0.022,1.451,-0.263,1.351,0.944 
00:00:050,Pose2,1.454,0.257,-1.349,-0.955,-0.019,0.028,-0.396,0.727,-0.403,-0.008,-0.019,-0.028,-0.413,0.770,-0.432,0.020,1.451,-0.264,1.353,0.952 
00:00:100,Pose3,1.454,0.260,-1.351,-0.962,-0.017,0.027,-0.402,0.748,-0.416,-0.007,-0.017,-0.027,-0.419,0.779,-0.438,0.019,1.450,-0.265,1.354,0.960 
00:00:150,Pose4,1.453,0.265,-1.353,-0.969,-0.016,0.026,-0.408,0.777,-0.434,-0.006,-0.016,-0.026,-0.424,0.787,-0.442,0.017,1.450,-0.266,1.356,0.967 
00:00:200,Pose5,1.452,0.269,-1.354,-0.972,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.450,-0.266,1.357,0.971 
00:00:250,Pose6,1.451,0.272,-1.353,-0.972,-0.015,0.028,-0.410,0.810,-0.455,-0.006,-0.015,-0.026,-0.423,0.787,-0.443,0.014,1.449,-0.266,1.357,0.972 
00:00:300,Pose7,1.450,0.278,-1.352,-0.965,-0.015,0.032,-0.411,0.824,-0.465,-0.006,-0.015,-0.026,-0.419,0.782,-0.443,0.014,1.449,-0.264,1.358,0.972 
00:00:350,Pose8,1.449,0.283,-1.349,-0.951,-0.015,0.038,-0.411,0.835,-0.474,-0.006,-0.015,-0.026,-0.412,0.774,-0.442,0.013,1.450,-0.262,1.358,0.971 
00:00:400,Pose9,1.447,0.289,-1.344,-0.929,-0.015,0.046,-0.412,0.845,-0.483,-0.006,-0.015,-0.026,-0.402,0.764,-0.441,0.012,1.450,-0.257,1.358,0.969 
00:00:450,Pose10,1.443,0.295,-1.337,-0.901,-0.015,0.056,-0.412,0.853,-0.491,-0.007,-0.015,-0.026,-0.390,0.751,-0.440,0.012,1.450,-0.251,1.359,0.967 
00:00:500,Pose11,1.439,0.302,-1.330,-0.866,-0.015,0.067,-0.412,0.860,-0.498,-0.007,-0.015,-0.026,-0.376,0.736,-0.439,0.011,1.451,-0.244,1.359,0.963 
00:00:550,Pose12,1.435,0.309,-1.321,-0.826,-0.015,0.079,-0.412,0.866,-0.505,-0.007,-0.015,-0.026,-0.361,0.720,-0.437,0.011,1.452,-0.236,1.359,0.958 
00:00:600,Pose13,1.431,0.318,-1.311,-0.783,-0.015,0.092,-0.412,0.871,-0.511,-0.007,-0.015,-0.026,-0.344,0.701,-0.435,0.010,1.453,-0.227,1.360,0.953 
00:00:650,Pose14,1.425,0.333,-1.295,-0.712,-0.015,0.112,-0.412,0.876,-0.520,-0.008,-0.015,-0.027,-0.316,0.671,-0.432,0.010,1.456,-0.213,1.360,0.943 
00:00:700,Pose15,1.421,0.343,-1.285,-0.664,-0.015,0.125,-0.412,0.879,-0.525,-0.008,-0.015,-0.027,-0.297,0.650,-0.429,0.010,1.458,-0.204,1.361,0.935 
00:00:750,Pose16,1.418,0.355,-1.274,-0.615,-0.015,0.137,-0.412,0.881,-0.529,-0.008,-0.015,-0.027,-0.277,0.627,-0.426,0.010,1.460,-0.195,1.361,0.927 
00:00:800,Pose17,1.415,0.366,-1.263,-0.568,-0.014,0.149,-0.412,0.884,-0.532,-0.008,-0.014,-0.028,-0.257,0.605,-0.422,0.009,1.463,-0.187,1.362,0.918 
00:00:850,Pose18,1.413,0.379,-1.253,-0.524,-0.014,0.159,-0.413,0.886,-0.535,-0.009,-0.014,-0.028,-0.237,0.582,-0.418,0.009,1.466,-0.179,1.362,0.908 
00:00:900,Pose19,1.412,0.391,-1.244,-0.483,-0.014,0.169,-0.413,0.889,-0.538,-0.009,-0.014,-0.028,-0.217,0.559,-0.414,0.009,1.470,-0.171,1.363,0.897 
00:00:950,Pose20,1.412,0.404,-1.236,-0.448,-0.014,0.176,-0.413,0.892,-0.540,-0.009,-0.014,-0.029,-0.197,0.536,-0.409,0.009,1.475,-0.165,1.364,0.885 
00:01:000,Pose21,1.412,0.417,-1.229,-0.418,-0.014,0.181,-0.413,0.895,-0.541,-0.009,-0.014,-0.030,-0.178,0.514,-0.404,0.009,1.479,-0.160,1.364,0.873 
00:01:050,Pose22,1.415,0.434,-1.223,-0.395,-0.014,0.184,-0.414,0.899,-0.541,-0.009,-0.014,-0.030,-0.160,0.492,-0.399,0.009,1.485,-0.157,1.365,0.860 
00:01:100,Pose23,1.433,0.461,-1.229,-0.378,-0.011,0.176,-0.415,0.907,-0.536,-0.004,-0.011,-0.040,-0.130,0.451,-0.382,0.015,1.497,-0.156,1.371,0.835 
00:01:150,Pose24,1.482,0.481,-1.262,-0.377,-0.004,0.157,-0.418,0.911,-0.522,0.008,-0.004,-0.060,-0.102,0.409,-0.360,0.029,1.515,-0.161,1.385,0.803 
00:01:200,Pose25,1.560,0.506,-1.319,-0.381,0.003,0.134,-0.420,0.913,-0.506,0.024,0.003,-0.085,-0.073,0.365,-0.334,0.045,1.540,-0.172,1.409,0.761 
00:01:250,Pose26,1.647,0.539,-1.385,-0.387,0.010,0.115,-0.422,0.915,-0.492,0.040,0.010,-0.105,-0.052,0.330,-0.314,0.059,1.570,-0.188,1.434,0.716 
00:01:300,Pose27,1.717,0.586,-1.439,-0.392,0.012,0.107,-0.423,0.916,-0.486,0.052,0.012,-0.113,-0.043,0.316,-0.305,0.064,1.597,-0.204,1.455,0.678 
00:01:350,Pose28,1.753,0.657,-1.470,-0.390,0.012,0.120,-0.423,0.916,-0.490,0.062,0.012,-0.113,-0.043,0.316,-0.305,0.064,1.618,-0.218,1.465,0.653 
00:01:400,Pose29,1.768,0.763,-1.488,-0.377,0.012,0.151,-0.423,0.916,-0.500,0.071,0.012,-0.113,-0.043,0.316,-0.305,0.064,1.634,-0.228,1.470,0.637 
00:01:450,Pose30,1.770,0.891,-1.498,-0.354,0.012,0.188,-0.423,0.916,-0.513,0.078,0.012,-0.113,-0.043,0.316,-0.305,0.064,1.646,-0.235,1.473,0.627 
00:01:500,Pose31,1.767,1.018,-1.504,-0.328,0.012,0.219,-0.423,0.916,-0.525,0.084,0.012,-0.113,-0.043,0.316,-0.305,0.064,1.655,-0.239,1.474,0.620 
00:01:550,Pose32,1.761,1.144,-1.507,-0.300,0.012,0.232,-0.423,0.916,-0.536,0.088,0.012,-0.112,-0.057,0.316,-0.301,0.064,1.664,-0.241,1.475,0.612 
00:01:600,Pose33,1.760,1.180,-1.508,-0.292,0.014,0.232,-0.424,0.916,-0.540,0.089,0.014,-0.103,-0.150,0.316,-0.276,0.064,1.667,-0.240,1.475,0.607 
00:01:650,Pose34,1.760,1.194,-1.508,-0.288,0.015,0.231,-0.425,0.916,-0.542,0.090,0.015,-0.089,-0.292,0.315,-0.237,0.063,1.670,-0.238,1.474,0.601 
00:01:700,Pose35,1.760,1.193,-1.505,-0.287,0.017,0.231,-0.426,0.916,-0.543,0.090,0.017,-0.074,-0.433,0.315,-0.198,0.062,1.671,-0.236,1.473,0.595 
00:01:750,Pose36,1.760,1.178,-1.500,-0.287,0.018,0.229,-0.426,0.916,-0.543,0.091,0.018,-0.060,-0.526,0.315,-0.173,0.059,1.672,-0.234,1.469,0.589 
00:01:800,Pose37,1.759,1.143,-1.491,-0.293,0.018,0.224,-0.426,0.913,-0.541,0.089,0.018,-0.051,-0.538,0.324,-0.174,0.054,1.672,-0.234,1.463,0.587 
00:01:850,Pose38,1.741,1.065,-1.476,-0.334,0.013,0.195,-0.424,0.897,-0.528,0.075,0.013,-0.044,-0.522,0.389,-0.212,0.047,1.665,-0.239,1.451,0.604 
00:01:900,Pose39,1.701,0.937,-1.454,-0.425,0.006,0.151,-0.420,0.870,-0.506,0.054,0.006,-0.037,-0.497,0.493,-0.272,0.037,1.648,-0.248,1.433,0.648 
00:01:950,Pose40,1.643,0.773,-1.428,-0.553,-0.003,0.101,-0.416,0.840,-0.482,0.030,-0.003,-0.032,-0.468,0.610,-0.340,0.028,1.620,-0.260,1.412,0.714 
00:02:000,Pose41,1.579,0.602,-1.402,-0.695,-0.010,0.057,-0.412,0.814,-0.460,0.009,-0.010,-0.028,-0.443,0.714,-0.400,0.021,1.584,-0.271,1.391,0.792 
00:02:050,Pose42,1.502,0.403,-1.373,-0.864,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.525,-0.280,1.368,0.892 
00:02:100,Pose43,1.477,0.339,-1.364,-0.919,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.498,-0.279,1.362,0.928 
00:02:150,Pose44,1.464,0.306,-1.359,-0.947,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.480,-0.276,1.359,0.949 
00:02:200,Pose45,1.458,0.290,-1.357,-0.961,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.468,-0.273,1.358,0.960 
00:02:250,Pose46,1.455,0.282,-1.356,-0.968,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.461,-0.271,1.358,0.966 
00:02:300,Pose47,1.453,0.278,-1.355,-0.972,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.456,-0.270,1.358,0.970 
00:02:350,Pose48,1.452,0.276,-1.355,-0.974,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.454,-0.268,1.358,0.972 
00:02:400,Pose49,1.451,0.275,-1.355,-0.975,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.452,-0.268,1.358,0.973 
00:02:450,Pose50,1.451,0.275,-1.355,-0.975,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.451,-0.267,1.358,0.973 
00:02:500,Pose51,1.451,0.274,-1.355,-0.975,-0.015,0.026,-0.410,0.795,-0.445,-0.006,-0.015,-0.026,-0.425,0.789,-0.443,0.015,1.450,-0.267,1.358,0.974 
